text,actual_label,predicted_label,sentiment_score,translate
kuliah semua lenyap anak jangan allah bbri gue simpej buat amit,negatif,negatif,-0.7226234,college all gone child don't god give me simple for amit
apa semua lebih amerika anjlok saham parah mengsedih indonesia bakal waduh pakar kripto,negatif,negatif,-0.721421477,what all more america stock plunge badly sad indonesia will wow crypto expert
bmri bumn bank bbni bbri bris hari,negatif,netral,0,bmri state-owned bank bbni bbri bris day
adro anniv jadi cokk tinggal lembar mau bbri merah aadi wkwkwkwkwk pacar bbca hadiah saham kamu pilih aku siapa,negatif,negatif,-0.382359656,adro anniv so cokk just need a sheet want red bbri aadi wkwkwkwkwk bbca boyfriend stock prize you choose who i am
bbri cuman tim beli,netral,netral,0,bbri just buy team
saham rupiah bbri saat dca cicil beli tarik mentok harga,positif,negatif,-0.591426847,bbri rupiah shares when dca installment buy pull to the maximum price
bbri sekarang an,netral,negatif,-0.576261605,bbri now an
ilmu jawab tugas cuma lama risiko bbri antisipasi market conviction ajar jalan serah punya semua jaga sama penting prediksi an bukan,netral,negatif,-0.705044802,science answering assignments only takes a long time risk bbri anticipation market conviction teach the way hand over all ownership guard the same important prediction not
go bumn murah dpr publik rajin bbri asih dividen loh banget mumpung beli sekarang malah yuk,positif,negatif,-0.356444189,go cheap bumn dpr public diligent bbri give dividends really while you buy now even let's
jaga fokus bos bank saham big via koreksi bbri caps,netral,positif,0.426449854,keep focus big stock bank boss via bbri caps correction
serok bmri wah ihsg ngumpulin keburu modal bagaimana bbri naik wkwkwkwkw beli buat hari,positif,positif,0.539885496,scoop bmri wow ihsg collect capital quickly how bbri goes up wkwkwkwkw buy for today
nih tabung balik jaman bapak periode banting bbri mula memang rontok bijak semua pandemi titik ihsg gua sih gila benar sampah sekarang abis,negatif,negatif,-0.930124799,"this is a return to the old days of the bri banning period, it really fell apart wisely, because of the pandemic, my ihsg is really crazy, it's really rubbish now."
jbjb bbri lanjut support kira maaf bukan,netral,negatif,-0.583698376,jbjb bbri continue support kira sorry not
bank bri seru bbri heboh dana tarik respons,negatif,positif,0.434230525,bank bri exciting bbri excited fund withdrawal response
baru periode walaupun makanya perintah orang bbri ketidakpastian takut percaya beda orisinal sangat bbca lebih wkwkwk awal sih wkwk banget tingkat,positif,negatif,-0.52289561,new period although that's why people order bbri uncertainty afraid believe different original very bbc more wkwkwk early really wkwk really level
sih naik bbri cuannya banyak positif,positif,positif,0.92417157,"if you go up to bbri, there will be lots of positive profits"
bmri bang bbni big bbri whoahh discount,positif,netral,0,bmri bang bbni big bbri whoahh discount
bbri baca,netral,negatif,-0.234305571,bbri read
gede bmri bbni baru shm lets target jebol bank hampir pas bbri kepentok support mulu tes buang merah memang himbr kalau naik dotop enggak hmmm apa kena lebih lihat daily sih sama volume supportnya sekarang menariq,negatif,negatif,-0.706803289,big bmri bbni new shm lets target bank collapse almost right bbri hit support always test throw red indeed himbr if go up dotop no hmmm what hit more see daily with volume support now its interesting
